Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
-2.78835e+07,-3167.26,-2668.32,10.9528,15036.6,90.8242,-0,1.95895,
2453.64,20.9497,18.5969,91.2116,3562.49,25.1667,438.844,16.3136,
2513.23,21.5015,18.1615,105.843,1545.03,22.9796,449.502,18.9304,
2495.02,19.6335,18.8215,104.316,8213.97,23.6494,446.244,18.6574,
2493.31,20.2116,18.4822,101.029,6387.23,27.4921,445.939,18.0694,
2514.97,19.6196,18.8888,89.9133,2792.42,26.1614,449.814,16.0814,
1884.3,20.4417,19.0914,120.571,2953.09,21.9613,337.015,21.5646,
2497.82,20.6337,18.4532,99.5747,2221.96,26.5996,446.746,17.8093,
2481.6,20.2123,17.707,121.306,3187.74,18.922,443.845,21.696,
2060.24,22.0015,18.3675,3603.68,8559.27,-36.6775,368.482,0,
2431.37,22.3298,18.4908,59.505,5447.4,30.9155,434.86,10.6427,
2469.45,20.8955,18.2529,77.4862,1613.86,29.0073,441.672,13.8587,
2517.16,20.8074,17.8934,117.526,16081.2,21.9952,450.205,21.02,
2528.46,20.0478,16.3278,231.325,132.495,14.0755,452.225,41.3734,
2422.61,20.0497,19.0838,162.92,7425.62,7.40692,433.294,29.1389,
2313.9,21.9334,18.2083,179.027,2315,8.85089,413.85,32.0198,
2395.79,18.2626,20.4799,155.242,313.339,5.98984,428.497,27.7657,
-1475.79,1.23801,-0.813867,1411.65,57.507,23.7088,-0,252.48,
2528.01,20.2458,18.4567,123.806,1514.23,19.9407,452.146,22.1433,
2468.06,21.9523,18.4456,122.259,9252.79,21.8071,441.423,21.8666,
2458.36,20.8559,19.0458,99.8872,3508.33,26.7182,439.689,17.8652,
2492.62,20.4016,18.4846,173.808,11380,8.98793,445.815,31.0863,
883.783,19.6257,19.817,131.055,1813.32,19.2249,158.068,23.4398,
2507.48,18.9296,18.3148,-880243,2.50075,-50.6221,448.474,-0,
2595.41,21.0379,17.6173,113.093,5924.86,20.8465,464.2,20.2271,
722.407,76.8545,19.9756,2711.95,12.5091,10.9333,129.205,485.043,
2444.95,20.8352,18.3251,88.8739,5327.38,23.667,437.29,15.8955,
2515.96,20.6795,18.1351,111.388,7532.88,20.1748,449.99,19.9221,
3474.04,1.62927,17.1998,152.322,6488.5,13.6253,621.347,27.2435,
2547.73,18.8105,18.8039,78.1437,4180.45,31.2708,455.672,13.9763,
1998.2,22.001,17.8685,113.308,5612.83,23.3656,357.386,20.2657,
2481.47,18.3838,18.7176,95.8425,4458.67,24.3444,443.821,17.1418,
2419.6,21.5439,18.501,91.9332,9636.84,24.1561,432.755,16.4426,
2541.02,18.1753,18.6045,150.743,718.486,8.19364,454.472,26.961,
2479.64,20.1335,19.0301,180.157,717.633,8.02503,443.493,32.2219,
2554.52,21.8431,18.3343,194.802,202.951,-46.7104,456.887,0,
2552.86,19.0723,18.3235,138.652,592.722,9.57733,456.59,24.7985,
2508.96,18.2948,16.8876,229.256,147.671,9.97414,448.739,41.0035,
2443.78,21.2004,18.4353,82.7449,6812.81,23.5556,437.081,14.7993,
